Title,Description,Priority,Status,Labels,Parent
"Web-property enhancement backlog — June 2026 triage","Outcome of the 2026-06-13 PR audit on tsksa/property-sg-lp. Starting state: 193 open PRs. Closed as duplicates this session: 11 (#101, #104, #105, #108, #110, #117, #138, #139, #140, #141, #155). Remaining to ship/triage: 182, grouped under this epic into 18 sub-issues by risk and theme. See linear-triage.md for full breakdown.",Medium,Backlog,"epic,triage",
"HIGH-1: ship security & data-integrity fixes (4 PRs)","Four merge-now PRs that close real abuse / pollution / XSS vectors: #159 Calendly origin pin, #167 OneMap XSS, #192 getClientIp spoofing fix, #198 CORS origin whitelist. Spot-check #198: confirm no third-party site embeds the valuation form before merging.",Urgent,Backlog,"high-risk,security",EPIC-PARENT-ID
"HIGH-2: international phone fix — merge #158 + #190 together","Two PRs that must merge in the same deploy. #158 fixes client-side (final-CTA pattern swap when country code changes); #190 fixes server-side (submit-lead.js accepts +CC non-65 numbers). Merging only one leaves silent lead loss.",Urgent,Backlog,"high-risk,paired",EPIC-PARENT-ID
"HIGH-3: submit-lead reliability fixes (3 PRs)","Three independent submit-lead.js fixes, each closes a silent-failure mode. #171 CORS preflight cache (perf), #191 email digit-cluster threshold 4→6 (stops rejecting birth-year emails), #193 reCAPTCHA fail-open (routes missing token to review_required flag).",High,Backlog,"high-risk,submit-lead",EPIC-PARENT-ID
"HIGH-4: response headers — HSTS + COOP (2 PRs)","Two netlify.toml header additions. #23 adds HSTS 2yr/includeSubDomains + .webp immutable cache. #64 adds COOP same-origin-allow-popups (preserves WhatsApp/Calendly). Verify with curl -I after deploy.",High,Backlog,"high-risk,headers",EPIC-PARENT-ID
"HIGH-5: service worker — defer until #24 lands","#70 service-worker-offline parked. Code is clean but depends on /404.html (which #24 ships) and SW lifecycle is hard to roll back if buggy. Unblock when #24 is merged AND team agrees on emergency-unregister procedure.",Low,Backlog,"high-risk,blocked",EPIC-PARENT-ID
"MED-1: nl-modal hardening sequence (11 PRs)","#175 #177 #179 #180 #181 #182 #183 #188 #196 #199 #200. Eleven PRs that progressively close every a11y, security, and state-management bug in the new-launches lead modal. Merge in ascending PR-number order to avoid conflicts. All touch new-launches/new-launches.js.",High,Backlog,"medium-risk,nl-modal,a11y",EPIC-PARENT-ID
"MED-2: val-popup modal hardening (3 PRs)","#135 focus trap + restore, #178 hide × from SR + explicit type=button, #186 native HTML5 validation instead of 3× alert(). Merge in order.",High,Backlog,"medium-risk,val-popup,a11y",EPIC-PARENT-ID
"MED-3: exit-popup modal a11y (1 PR)","#136. Brings exit-intent popup up to same modal a11y standard as #135 (val-popup): focus trap, focus restore, role=dialog. Standalone.",Medium,Backlog,"medium-risk,a11y",EPIC-PARENT-ID
"MED-4: form noscript fallbacks, inline errors, aria-live (8 PRs)","#31 valuation inline error banner, #88-91 noscript fallbacks across all forms, #122 form-success role=status, #123 homepage inline error banner, #174 .reveal noscript fallback. Mostly independent.",Medium,Backlog,"medium-risk,forms",EPIC-PARENT-ID
"MED-5: calculator a11y + behavior (5 PRs)","#120 radiogroup label, #169 visible focus, #225 keyboard focus after smooth-scroll, #226 debounce aria-live (~20 redundant SR announcements per typed value), #227 reflect tenure clamping in input. #226 and #227 are real bugs surfaced this session.",Medium,Backlog,"medium-risk,calculator,a11y",EPIC-PARENT-ID
"MED-6: FAQ a11y + schema (3 PRs)","#46 ARIA disclosure pattern, #124 aria-controls + aria-labelledby (likely overlaps with #46 — read both diffs, merge broader, drop other), #163 align FAQPage schema with visible text.",Medium,Backlog,"medium-risk,faq",EPIC-PARENT-ID
"MED-7: performance — preconnect, preload, lazy, async (7 PRs)","#34 prefetch valuation, #48 preconnect singmap, #49 preconnect GTM+FB, #63 preload hero, #68 passive scroll, #72 cache parallax + rAF throttle, #106 async fonts. #68 + #72 both touch parallax — check for conflicts. Verify Lighthouse after each batch.",Medium,Backlog,"medium-risk,perf",EPIC-PARENT-ID
"MED-8: schema rich-results enrichment (4 PRs)","#21 glossary defined-terms, #26 calculator SoftwareApplication, #69 dedupe homepage review (removes content — eyeball first), #156 insights Article image+publisher. Validate each with Rich Results Test after deploy.",Medium,Backlog,"medium-risk,schema,seo",EPIC-PARENT-ID
"MED-9: misc medium-risk improvements (10 PRs)","#19 fragile redirects cleanup, #27 sitemap lastmod refresh, #30 lazy CTA images, #41 prefers-reduced-motion site-wide (touches every page), #52 Calendly noscript, #97 back-to-top, #133 dark-toggle a11y, #134 cookie banner role, #162 time-on-form extend, #166 drop noindex from sitemap.",Medium,Backlog,"medium-risk",EPIC-PARENT-ID
"LOW-1: SEO + metadata + structured data (24 PRs)","#29 #34 #42 #43 #44 #45 #51 #53 #61 #71 #75 #102 #107 #111 #112 #113 #114 #115 #116 #142 #145 #170 #189 #204. Single-attribute meta / OG / Twitter / structured-data additions. Safe bulk-merge in batches of 6-8.",Low,Backlog,"low-risk,seo",EPIC-PARENT-ID
"LOW-2: a11y attribute additions (40 PRs)","#38 #39 #40 #54 #65 #66 #67 #92 #93 #95 #96 #98 #99 #100 #103 #118 #119 #121 #125 #126 #127 #128 #129 #130 #131 #132 #143 #144 #146 #147 #148 #149 #150 #151 #152 #153 #154 #161 #164 #209. Single-attribute a11y additions (aria-hidden, aria-label, role=list, scope=col, lang=zh). Bulk-merge in batches of 8-10.",Low,Backlog,"low-risk,a11y",EPIC-PARENT-ID
"LOW-3: WCAG 2.5.5 tap targets + safe area + content fixes (11 PRs)","#55 viewport-fit=cover, #176 honeypot aria-hidden drop, #205 safe-area inset, #206 modal close 32→44, #207 nl-to-top 44×44, #212 hero-valuation-link 44px, #4 WhatsApp placeholder rename, #22 privacy policy PDPA copy (legal eyeball), #25 suppress placeholder conversions, #157 remove bogus postalCode SG, #20 strip editorial leaks.",Low,Backlog,"low-risk,wcag",EPIC-PARENT-ID
"LOW-4: devex + 404 + skip-link series (18 PRs)","Skip-link series: #33 homepage → #36 mid-tier → #37 detail+landing (merge in order). 404+robots+FAQs: #24 #28 #18. Devex hygiene: #9 #32 #35 #57 #58 #59 #62 #74 #76 #77 #78 #79 #80 #81 #82 #83 #84 #85 #86 #87. SKIP: #6 (Remotion video — out of scope).",Low,Backlog,"low-risk,devex",EPIC-PARENT-ID
